epoch,reward,complexity,length,is_physical,is_elite,program
0,0.0,41.0,26,False,False,((((((((((((z*(m*((((((((((z*z))**(-1)))**(0.5))+g)-m))**(0.5))-g)))+g))**(0.5))+1))**(-1)))**(0.5))+g))**(2))
0,0.0,32.0,23,False,False,(((((((m/1)/((((g*(m/((((((((z)**(2)))**(-1)))**(2)))**(-1)))))**(-1))-g))-m)-v_z)+g))**(2))
0,0.0,37.0,23,False,False,(cos(log(1))*((((((z/((g/(g/(v_z*((g)**(0.5)))))-1)))**(0.5))+z)-v_z)-g))
0,0.0,29.0,24,False,False,((v_z+(((((v_z+(z/(1/(z*(g/((g/z)-g)))))))**(2))-z)*g))*v_z)
0,0.0,44.0,27,False,False,((((((log(((cos(log((1/1))))**(0.5)))/((((((g/(1/v_z))+v_z)-v_z))**(-1))-g))-g))**(-1))-z)+g)
0,0.0,37.0,20,False,False,(((sin(((((((1)**(2))*m)/(m+m)))**(2)))*(1/(1/((((((v_z)**(-1)))**(0.5)))**(0.5))))))**(0.5))
0,0.0,38.0,23,False,False,((((((((1/(log(((1)**(-1)))*(((((g/((v_z/g)+v_z)))**(-1)))**(0.5))))+1))**(2))-g)+v_z))**(0.5))
0,0.0,37.0,23,False,False,(m*(((((((((((((sin(1))**(-1))/((((m*(((g-1))**(-1))))**(2))+g)))**(2))+v_z))**(2))-m))**(0.5)))**(0.5)))
0,0.0,42.0,25,False,False,((((((exp((((sin(((1)**(-1)))-(log(1)-1)))**(-1))))**(-1))+((sin(((v_z-m)+g))+g)+m))/z))**(0.5))
0,0.0,39.0,23,False,False,(1/(((v_z/(((((((g)**(0.5))/((((((1/(((z*1)+v_z)+z))+g))**(0.5)))**(-1))))**(2)))**(2))))**(0.5)))
0,0.0,34.0,22,False,False,(((((v_z*((((((cos((1+1))/(1*(((g/g))**(-1)))))**(0.5))-g)+m)+m)))**(-1)))**(0.5))
0,0.0,40.0,26,False,False,((((((((((sin((m*(m*(((((((((z/v_z)+1)-v_z)+g))**(0.5))-v_z))**(2))))))**(-1)))**(2))/g))**(0.5))+m))**(2))
0,0.0,35.0,26,False,False,((((((((((g*((((((((((((((((v_z)**(-1))-z)-v_z)+g)-g)+z)-m))**(2)))**(-1)))**(2)))**(-1))))**(2)))**(-1))+g))**(2)))**(-1))
0,0.0,34.0,22,False,False,(v_z/(((exp(((z*(((((1*(v_z*(1*(((g-1))**(0.5))))))**(2)))**(-1)))+v_z))*m))**(0.5)))
0,0.0,37.0,22,False,False,((((v_z)**(-1))+(cos((exp(1)*log(1)))/v_z))*(m/((((m/(m*g)))**(0.5))+1)))
0,0.0,36.0,22,False,False,(((1*(((((z*(((((g/((((z*((((1+1)+z))**(2))))**(0.5))+g)))**(-1)))**(0.5))))**(-1)))**(2))))**(0.5))
0,0.0,35.0,26,False,False,((((((((((((((g+g)*g))**(2))/((g/((((z-g))**(2))-z))-m))+v_z))**(0.5))-m))**(-1))+g))**(2))
0,0.0,41.0,22,False,False,(((((v_z*((((((((g/((((((((1/(((z)**(0.5))-1)))**(-1)))**(2))+g))**(0.5))))**(2)))**(2))+g))**(0.5))))**(-1)))**(0.5))
0,0.0,46.0,20,False,False,((((((((((sin((((log((1-1)))**(0.5))-1)))**(2))+((sin(log(log(z))))**(2))))**(2))/m))**(0.5)))**(0.5))
0,0.0,35.0,23,False,False,((v_z/g)/((((((m*(log(1)/((g*((z/((g)**(-1)))-1))-g))))**(-1))-1))**(0.5)))
